names,projections,bmin,bmax,islog,p0
kMAPIA,,0.01,0.06,1,0.0346736850000000
kPIAPA,,0.0001,0.005,1,0.000794328000000000
dPA,,0.000005,0.02,1,0.00894202591025855
VMAX,,0.01,12,1,6.73862092127018
ARA,,6.088,6.088,1,6.088
ARAN,,0.5,1.5,1,1.11990444485368
kfGCSG1,,0.005,0.1,1,0.0683552771915388
kbGCSG1,,0.005,1,1,0.0100000000000000
kfGBSG2,,0.005,0.1,1,0.0642447666866901
kbGBSG2,,0.005,1,1,0.0161463116890208
kfGCSG3,,0.005,0.1,1,0.0100000000000000
kbGCSG3,,0.005,1,1,0.0674166778980694
kfGBSG4,0,0.005,0.1,1,0.0107806637784306
kbGBSG4,0,0.005,1,1,0.0100000000000000
kfGASG5,0,0.005,0.1,1,0.0374790632272584
kbGASG5,0,0.005,1,1,0.794328235000000
Km,,10,150,1,73.3420195206893
kMCPIC,,0.05,12,1,4.55354774250515
kPICPC,,0.05,12,1,1.67629278128716
dPC,,0.000005,0.2,1,0.00187633416637833
kfSGCAS,,0.0005,0.2,1,0.00899273802699384
kbSGCAS,,0.005,1,1,0.0100000000000000
kMC,,1,2,1,1.47910838800000
kMB,, 1,2,1,1.47910838800000
kMBPIB,,0.005,150,1,0.0100000000000000
kPIBPB,,0.0001,0.5,1,0.0765805300760153
dPB,,0.000005,0.02,1,0.00771627935527829
bSG1,,0.000005,0.002,1,0.000666781067145978
bSG2,,0.000005,0.002,1,1.00000000000000e-05
bA,,0.000005,0.002,1,1.00000000000000e-05
CasConcaseF,,6000,7000,1,6309.57344500000
dmRNAcaseF,,0.0005,340,1,45.8493432655722
kfSGCASsg1,,0.0005,0.5,1,0.0471728110413337
kbSGCASsg1,,0.005,1,1,0.791428292214557
kfSGCASsg2,,0.0005,0.2,1,0.0290879256363390
kbSGCASsg2,,0.005,1,1,0.455363743668178
kfSGCASsg3,,0.0005,0.2,1,0.0512197935471684
kbSGCASsg3,,0.005, 1.2,1,0.436684407205737
kMB3,,1,2,1,1.47910838800000
kfSGCASsg4,0,0.0005,0.2,1,0.0220861435086271
kbSGCASsg4,0,0.005,1,1,0.508473344160808
kMC4,0,1,2,1,1.47910838800000
kfSGCASsg5,0,0.0005,0.2,1,0.0962632836897650
kbSGCASsg5,0,0.005,1,1,0.0462977402114782
kMC5,0,1,2,1,1.47910838800000



