names,projections,bmin,bmax,islog,p0
kMAPIA,,0.034673685,0.034673685,1,0.0346736850000000
kPIAPA,,0.000794328,0.001995262,1,0.00169700707076527
dPA,,0.00001,0.01,1,0.00944544518513272
VMAX,,0.031622777,10,1,9.91890083280332
ARA,,1,1,1,1
ARAN,,1.023292992,1.258925412,1,1.08792000284828
kfGCSG1,,0.01,0.079432823,1,0.0544564583961744
kbGCSG1,,0.01,0.794328235,1,0.739358757855807
kfGBSG2,,0.01,0.079432823,1,0.0486416549272410
kbGBSG2,,0.01,0.794328235,1,0.794328235000000
kfGCSG3,,0.01,0.079432823,1,0.0695018734938711
kbGCSG3,,0.01,0.794328235,1,0.415502869922433
kfGBSG4,0,0.01,0.079432823,1,0.0765674096027421
kbGBSG4,0,0.01,0.794328235,1,0.794328235000000
kfGASG5,0,0.01,0.079432823,1,0.0457103805341835
kbGASG5,0,0.01,0.794328235,1,0.715248929397685
Km,,15.84893192,100,1,15.8489319200000
kMCPIC,,0.1,10,1,10
kPICPC,,0.1,10,1,5.61388150563165
dPC,,0.00001,0.01,1,1.00000000000000e-05
kfSGCAS,,0.001,0.1,1,0.00100000000000000
kbSGCAS,,0.01,0.794328235,1,0.311635117274085
kMC,,1.479108388,1.479108388,1,1.47910838800000
kMB,,1.479108388,1.479108388,1,1.47910838800000
kMBPIB,,0.01,100,1,59.0614998414159
kPIBPB,,0.000316228,0.1,1,0.0563153218635998
dPB,,0.00001,0.01,1,0.00619450975736044
bSG1,,0.00001,0.001,1,0.00100000000000000
bSG2,,0.00001,0.001,1,0.000417219491796339
bA,,0.00001,0.001,1,0.000983016966331635
CasConcaseF,,6309.573445,6309.573445,1,6309.57344500000
dmRNAcaseF,,0.001,316.227766,1,245.020389529810
kfSGCASsg1,,0.001,0.1,1,0.0886972373187349
kbSGCASsg1,,0.01,0.794328235,1,0.575449402103184
kfSGCASsg2,,0.001,0.1,1,0.0139385322290729
kbSGCASsg2,,0.01,0.794328235,1,0.418352514083893
kfSGCASsg3,,0.001,0.1,1,0.0641368674281773
kbSGCASsg3,,0.01,0.794328235,1,0.0935426664017495
kMB3,,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg4,0,0.001,0.1,1,0.0212714949412928
kbSGCASsg4,0,0.01,0.794328235,1,0.635277074501809
kMC4,0,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg5,0,0.001,0.1,1,0.00258735919943891
kbSGCASsg5,0,0.01,0.794328235,1,0.749219248267355
kMC5,0,1.479108388,1.479108388,1,1.47910838800000
