names,projections,bmin,bmax,islog,p0
kMAPIA,,0.0034673685,0.34673685,1,0.0346736850000000
kPIAPA,,0.0000794328,0.01995262,1,0.000799094814162404
dPA,,0.00001,0.01,1,2.63784110609838e-05
VMAX,,0.031622777,10,1,1.11708394246046
ARA,,6.088,6.088,1,6.088
ARAN,,0.1023292992,12.58925412,1,1.20083127787926
kfGBSG2,,0.01,0.79432823,1,0.0482225578086357
kbGBSG2,,0.01,1,1,0.0353314711394634
kfGCSG3,,0.01,0.79432823,1,0.0181566495163911
kbGCSG3,,0.01,1,1,0.0467037095419989
Km,,1.584893192,100,1,35.7988932242484
kMB,,0.1479108388,14.79108388,1,1.47910838800000
kMBPIB,,0.01,100,1,0.0193544017786053
kPIBPB,,0.000316228,0.1,1,0.0821544424612875
dPB,,0.00001,0.1,1,0.000130006205160621
bSG2,,0.00001,0.001,1,1.92577166843483e-05
bA,,0.00001,0.001,1,0.000235141970816822
CasConcaseF,,6000,7000,1,6309.57344500000
dmRNAcaseF,,0.001,316.227766,1,29.9985376179197
kfSGCASsg2,,0.001,0.1,1,0.00239993636256081
kbSGCASsg2,,0.01,0.794328235,1,0.605565645155995
kfSGCASsg3,,0.001,0.1,1,0.0149374801268312
kbSGCASsg3,,0.01,0.794328235,1,0.0194426510687278
kMB3,,0.1479108388,14.79108388,1,1.47910838800000
