names,projections,bmin,bmax,islog,p0
kMAPIA,,0.034673685,0.034673685,1,0.0346736850000000
kPIAPA,,0.000794328,0.001995262,1,0.00199526200000000
dPA,,0.00001,0.01,1,0.00643053754062027
VMAX,,0.031622777,10,1,2.27506767562468
ARA,,6.088,6.088,1,6.088
ARAN,,1.023292992,1.258925412,1,1.13998385283155
kfGCSG1,,0.01,0.079432823,1,0.0375409425028873
kbGCSG1,,0.01,0.794328235,1,0.0123229204430062
kfGBSG2,,0.01,0.079432823,1,0.0362114004574429
kbGBSG2,,0.01,0.794328235,1,0.753209943755108
kfGCSG3,,0.01,0.079432823,1,0.0764621227215428
kbGCSG3,,0.01,0.794328235,1,0.730254084399409
kfGBSG4,0,0.01,0.079432823,1,0.0367379286796186
kbGBSG4,0,0.01,0.794328235,1,0.549356142762650
kfGASG5,0,0.01,0.079432823,1,0.0100000000000000
kbGASG5,0,0.01,0.794328235,1,0.368457842386147
kfGASG6,0,0.01,0.079432823,1,0.0597575174644214
kbGASG6,0,0.01,0.794328235,1,0.747736776867812
Km,,15.84893192,100,1,100
kMCPIC,,0.1,10,1,8.08483077766813
kPICPC,,0.1,10,1,4.19960688439692
dPC,,0.00001,0.01,1,1.00000000000000e-05
kfSGCAS,,0.001,0.1,1,0.0535294147871499
kbSGCAS,,0.01,0.794328235,1,0.651359132167066
kMC,,1.479108388,1.479108388,1,1.47910838800000
kMB,,1.479108388,1.479108388,1,1.47910838800000
kMBPIB,,0.01,100,1,77.9006594131540
kPIBPB,,0.000316228,0.1,1,0.00828283770284899
dPB,,0.00001,0.01,1,0.0100000000000000
bSG1,,0.00001,0.001,1,0.000753835503437847
bSG2,,0.00001,0.001,1,0.000143550640690619
bA,,0.00001,0.001,1,9.57076716139524e-05
CasConcaseF,,6309.573445,6309.573445,1,6309.57344500000
dmRNAcaseF,,0.001,316.227766,1,45.6272031994039
kfSGCASsg1,,0.001,0.1,1,0.0157699865782479
kbSGCASsg1,,0.01,0.794328235,1,0.502858367318455
kfSGCASsg2,,0.001,0.1,1,0.00546575674115269
kbSGCASsg2,,0.01,0.794328235,1,0.794328235000000
kfSGCASsg3,,0.001,0.1,1,0.0337860041479220
kbSGCASsg3,,0.01,0.794328235,1,0.191997486126457
kMB3,,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg4,0,0.001,0.1,1,0.0315129444030433
kbSGCASsg4,0,0.01,0.794328235,1,0.134218305559839
kMC4,0,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg5,0,0.001,0.1,1,0.0655737172977319
kbSGCASsg5,0,0.01,0.794328235,1,0.144412085301154
kMC5,0,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg6,0,0.001,0.1,1,0.0304465040187439
kbSGCASsg6,0,0.01,0.794328235,1,0.0100000000000000
kMB6,0,1.479108388,1.479108388,1,1.47910838800000
