names,projections,bmin,bmax,islog,p0
kMAPIA,,0.034673685,0.034673685,1,0.0346736850000000
kPIAPA,,0.000794328,0.001995262,1,0.00199515747283981
dPA,,0.00001,0.01,1,4.59713207407552e-05
VMAX,,0.031622777,10,1,8.61974190927008
ARA,,6.088,6.088,1,6.088
ARAN,,1.023292992,1.258925412,1,1.07598142507664
kfGCSG1,,0.01,0.079432823,1,0.0533790073317237
kbGCSG1,,0.01,0.794328235,1,0.0229514441620441
kfGBSG2,,0.01,0.079432823,1,0.0189927534328621
kbGBSG2,,0.01,0.794328235,1,0.661663262477092
kfGCSG3,,0.01,0.079432823,1,0.0543993594236707
kbGCSG3,,0.01,0.794328235,1,0.566573933941180
kfGBSG4,0,0.01,0.079432823,1,0.0665542974284015
kbGBSG4,0,0.01,0.794328235,1,0.0236283036082471
kfGASG5,0,0.01,0.079432823,1,0.0702627989166536
kbGASG5,0,0.01,0.794328235,1,0.278552590380054
kfGASG6,0,0.01,0.079432823,1,0.0371295049213314
kbGASG6,0,0.01,0.794328235,1,0.612344408866469
Km,,15.84893192,100,1,33.8999256185500
kMCPIC,,0.1,10,1,1.41141789358975
kPICPC,,0.1,10,1,0.268977498837916
dPC,,0.00001,0.01,1,3.79966122453423e-05
kfSGCAS,,0.001,0.1,1,0.0163651092446535
kbSGCAS,,0.01,0.794328235,1,0.708360825086469
kMC,,1.479108388,1.479108388,1,1.47910838800000
kMB,,1.479108388,1.479108388,1,1.47910838800000
kMBPIB,,0.01,100,1,33.6025871604638
kPIBPB,,0.000316228,0.1,1,0.0893150445541583
dPB,,0.00001,0.01,1,0.00284387710655639
bSG1,,0.00001,0.001,1,0.000624550018020216
bSG2,,0.00001,0.001,1,0.000920180707612628
bA,,0.00001,0.001,1,0.000991414625728652
CasConcaseF,,6309.573445,6309.573445,1,6309.57344500000
dmRNAcaseF,,0.001,316.227766,1,297.729490401456
kfSGCASsg1,,0.001,0.1,1,0.0207033985191051
kbSGCASsg1,,0.01,0.794328235,1,0.227238316389148
kfSGCASsg2,,0.001,0.1,1,0.00349436272634519
kbSGCASsg2,,0.01,0.794328235,1,0.653749935659642
kfSGCASsg3,,0.001,0.1,1,0.0784870143442603
kbSGCASsg3,,0.01,0.794328235,1,0.437590398029584
kMB3,,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg4,0,0.001,0.1,1,0.0729818939548447
kbSGCASsg4,0,0.01,0.794328235,1,0.484837823677483
kMC4,0,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg5,0,0.001,0.1,1,0.0376600341520891
kbSGCASsg5,0,0.01,0.794328235,1,0.241203661378106
kMC5,0,1.479108388,1.479108388,1,1.47910838800000
kfSGCASsg6,0,0.001,0.1,1,0.0518092457061634
kbSGCASsg6,0,0.01,0.794328235,1,0.578645183390467
kMB6,0,1.479108388,1.479108388,1,1.47910838800000
